asset_number,asset_description,lamp_type_lupvalue,lamp_rating_w,mounting_type_lupvalue,lat,lon,location
1544884,Feature Lighting - Webb Bridge between North Wharf Road and River Esplanade,12,,Bridge Beam,-37.822895641821184,144.94720445198396,"(-37.822895641821184, 144.94720445198396)"
1347227,Feature Lighting - Docklands,5,150,Parapet,-37.817566527465374,144.94949330938348,"(-37.817566527465374, 144.94949330938348)"
1347561,Feature Lighting - Docklands,1,,Building Facade,-37.821203713234105,144.93257039330808,"(-37.821203713234105, 144.93257039330808)"
1542418,Feature Lighting -,13,35,Pole: Multiple Fixed,-37.82389890708423,144.94711586788011,"(-37.82389890708423, 144.94711586788011)"
1346638,Feature Lighting - Docklands,5,70,Inground,-37.81863883310881,144.94653809698457,"(-37.81863883310881, 144.94653809698457)"
1539350,Feature Lighting - Victoria Harbour,1,,Pole: Multiple Fixed,-37.81631989325083,144.9400161794216,"(-37.81631989325083, 144.9400161794216)"
1543215,Feature Lighting - Lennon Street from Manningham Street,9,,Pole: Multiple Fixed,-37.78676539280576,144.9418171421646,"(-37.78676539280576, 144.9418171421646)"
1544306,Feature Lighting - Manningham Street between Church Street and Lennon Street,2,14,Pole: Multiple Fixed,-37.78673324082473,144.94202613827596,"(-37.78673324082473, 144.94202613827596)"
1347001,Feature Lighting - Docklands,5,70,Inground,-37.824556749978406,144.94634113811253,"(-37.824556749978406, 144.94634113811253)"
1673053,Feature Lighting - Queen Victoria Gardens,9,24,,-37.82161376692076,144.97228689819698,"(-37.82161376692076, 144.97228689819698)"
1540276,Feature Lighting - Intersection of Market Street and Flinders Street,13,70,Pole: Multiple Fixed,-37.81942513807264,144.96125757690893,"(-37.81942513807264, 144.96125757690893)"
1487883,Feature Lighting - Docklands,,,,-37.81918345087347,144.94343906733994,"(-37.81918345087347, 144.94343906733994)"
1544570,Feature Lighting - Victoria Harbour,13,70,Pole: Multiple Fixed,-37.81837711716831,144.94452970938127,"(-37.81837711716831, 144.94452970938127)"
1540007,Feature Lighting - Saint Mangos Lane between Caravel Lane and Newquay Promenade,9,25,Building Eve,-37.814711121156144,144.9417992463722,"(-37.814711121156144, 144.9417992463722)"
1346938,Feature Lighting - Docklands,3,36,Parapet,-37.817784757778824,144.94913123674849,"(-37.817784757778824, 144.94913123674849)"
1539401,Feature Lighting -,13,70,Pole: Multiple Fixed,-37.82428512539714,144.94490214256916,"(-37.82428512539714, 144.94490214256916)"
1541156,Feature Lighting - Victoria Harbour Promenade between Enterprize Way and Cumberland Street,3,,Pole: Multiple Fixed,-37.81887742537234,144.94269669054026,"(-37.81887742537234, 144.94269669054026)"
1542975,Feature Lighting - Webb Bridge between North Wharf Road and River Esplanade,12,,Pole: Multiple Fixed,-37.82338622644485,144.94733707228056,"(-37.82338622644485, 144.94733707228056)"
1347412,Feature Lighting - Docklands,5,35,Inground,-37.815173980313666,144.94045404881126,"(-37.815173980313666, 144.94045404881126)"
1539933,Feature Lighting - Newquay Promenade between Saint Mangos Lane and Rakaia Way,1,50,Pole: Multiple Fixed,-37.81492006956318,144.9416735998272,"(-37.81492006956318, 144.9416735998272)"
1540097,Feature Lighting - Collins Street between Spencer Street and Batmans Hill Drive,13,70,Pole: Multiple Fixed,-37.81975143176451,144.9521905656722,"(-37.81975143176451, 144.9521905656722)"
1541894,Feature Lighting - Melbourne Convention Exhibition Centre Bridge between South Wharf and North Wharf,,,Pole: Multiple Fixed,-37.82327696887672,144.95169432517912,"(-37.82327696887672, 144.95169432517912)"
1540221,Feature Lighting - Manningham Street between Church Street and Lennon Street,,14,Pole: Multiple Fixed,-37.78672953124703,144.94203619654627,"(-37.78672953124703, 144.94203619654627)"
1540571,Feature Lighting - Newquay Promenade between Rakaia Way and Dopel Way,9,,Pole: Multiple Fixed,-37.815298376042215,144.94071979108736,"(-37.815298376042215, 144.94071979108736)"
1502944,Feature Lighting - Southbank,,,Inground,-37.82110256631347,144.96394486729662,"(-37.82110256631347, 144.96394486729662)"
1542835,Feature Lighting -,12,,Pole: Multiple Fixed,-37.82400474722755,144.94729703762678,"(-37.82400474722755, 144.94729703762678)"
1348438,Feature Lighting - Docklands,1,,Inground,-37.81524604124238,144.9409210605891,"(-37.81524604124238, 144.9409210605891)"
