Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,Location
2017,43,105954,105954,422-428 Little Collins Street,Melbourne (CBD),Little Red Pocket,200,"(-37.8159076, 144.960326)"
2017,66,105695,105695,239 Lonsdale Street,Melbourne (CBD),Ferdydurke,100,"(-37.81159495, 144.965378)"
2017,58,108986,108986,161 Spring Street,Melbourne (CBD),The European,703,"(-37.8109513, 144.9724291)"
2017,85,109302,109302,281-287 Swanston Street,Melbourne (CBD),Bornga,40,"(-37.81143223, 144.9643593)"
2017,803,111175,110477,8 Whiteman Street,Southbank,Velvet Bar,100,"(-37.82312164, 144.9586604)"
2017,62,105384,105384,204-208 King Street,Melbourne (CBD),Great Western Hotel,390,"(-37.81521196, 144.9554836)"
2017,803,597190,110477,8 Whiteman Street,Southbank,Club 23,450,"(-37.82312164, 144.9586604)"
2017,67,105673,105673,103-105 Lonsdale Street,Melbourne (CBD),Bomba Tapas Bar and Rooftop,145,"(-37.81049305, 144.9692541)"
2017,6,578324,573333,2 Swanston Street,Melbourne (CBD),Transport Hotel,600,"(-37.81784465, 144.9699175)"
2017,255,101593,101593,91-95 Cardigan Street,Carlton,Hotel Lincoln,154,"(-37.80448528, 144.9645057)"
2017,87,108567,108567,300 Russell Street,Melbourne (CBD),Jankara Karaoke,80,"(-37.80951668, 144.966904)"
2017,801,110335,110335,1-9 Southbank Boulevard,Southbank,Left Bank Melbourne,400,"(-37.8210403, 144.9628914)"
